 NOMBRE : A31C
 COMENTARIO : Imported from rafaelmartinelli/CARPData.jl (unknown_ab); original bounds lb=344 ub=370
 VERTICES : 31
 ARISTAS_REQ : 52
 ARISTAS_NOREQ : 0
 VEHICULOS : 100
 CAPACIDAD : 50
 TIPO_COSTES_ARISTAS : EXPLICITOS 
 COSTE_TOTAL_REQ : 271
 LISTA_ARISTAS_REQ :
 ( 2, 3)   coste 3   demanda 4
 ( 3, 9)   coste 12   demanda 4
 ( 3, 5)   coste 4   demanda 3
 ( 3, 4)   coste 6   demanda 7
 ( 9, 10)   coste 5   demanda 4
 ( 5, 8)   coste 5   demanda 5
 ( 8, 12)   coste 5   demanda 6
 ( 5, 6)   coste 3   demanda 5
 ( 4, 6)   coste 5   demanda 2
 ( 4, 7)   coste 6   demanda 6
 ( 6, 7)   coste 5   demanda 6
 ( 7, 14)   coste 7   demanda 7
 ( 12, 13)   coste 6   demanda 7
 ( 12, 11)   coste 5   demanda 8
 ( 10, 11)   coste 6   demanda 1
 ( 10, 27)   coste 3   demanda 8
 ( 10, 26)   coste 7   demanda 3
 ( 26, 27)   coste 5   demanda 5
 ( 25, 27)   coste 4   demanda 6
 ( 11, 25)   coste 6   demanda 8
 ( 1, 11)   coste 8   demanda 6
 ( 24, 25)   coste 3   demanda 5
 ( 23, 26)   coste 6   demanda 7
 ( 23, 24)   coste 5   demanda 9
 ( 22, 24)   coste 4   demanda 7
 ( 22, 23)   coste 6   demanda 1
 ( 1, 22)   coste 5   demanda 9
 ( 1, 13)   coste 6   demanda 8
 ( 13, 14)   coste 6   demanda 7
 ( 14, 15)   coste 2   demanda 4
 ( 15, 17)   coste 5   demanda 3
 ( 1, 17)   coste 6   demanda 6
 ( 1, 21)   coste 3   demanda 3
 ( 17, 21)   coste 4   demanda 3
 ( 17, 18)   coste 3   demanda 3
 ( 18, 21)   coste 4   demanda 3
 ( 21, 22)   coste 5   demanda 9
 ( 16, 18)   coste 4   demanda 4
 ( 16, 19)   coste 11   demanda 1
 ( 18, 20)   coste 4   demanda 1
 ( 19, 20)   coste 6   demanda 1
 ( 19, 23)   coste 10   demanda 4
 ( 20, 22)   coste 6   demanda 9
 ( 9, 29)   coste 4   demanda 4
 ( 10, 29)   coste 3   demanda 1
 ( 10, 28)   coste 3   demanda 6
 ( 28, 29)   coste 5   demanda 6
 ( 7, 31)   coste 6   demanda 6
 ( 14, 31)   coste 5   demanda 8
 ( 30, 31)   coste 8   demanda 9
 ( 15, 30)   coste 4   demanda 2
 ( 16, 30)   coste 3   demanda 4
 LISTA_ARISTAS_NOREQ :
 DEPOSITO :   1
